year,county,agency_name,agency_code,violent_crimes,property_crimes,violent_clearance_rate,property_clearance_rate,arrests_total,arrests_felony,arrests_misdemeanor,arrests_status_offense,dic_total_deaths,dic_arrest_related,dic_city_county_jails,leoka_total_deaths,leoka_felony_deaths,leoka_accidental_deaths,leoka_total_assaults,leoka_injury_assaults,leoka_no_injury_assaults,calls_for_service,contracting_agencies,population_served,hispanic_population,white_population,black_population,native_american_population,asian_pacific_islander_population,other_population,hispanic_proportion,white_proportion,black_proportion,native_american_proportion,asian_pacific_islander_proportion,other_proportion,arrests_total_rate_per_100000,arrests_felony_rate_per_100000,arrests_misdemeanor_rate_per_100000,arrests_status_offense_rate_per_100000,violent_crimes_rate_per_100000,property_crimes_rate_per_100000,dic_total_deaths_rate_per_100000,dic_arrest_related_rate_per_100000,dic_city_county_jails_rate_per_100000,leoka_total_deaths_rate_per_100000,leoka_felony_deaths_rate_per_100000,leoka_accidental_deaths_rate_per_100000,leoka_total_assaults_rate_per_100000,leoka_injury_assaults_rate_per_100000,leoka_no_injury_assaults_rate_per_100000
2005,Alameda,All Combined,All Combined,9749,63034,27.73,9.19,57366,19765,37119,482,12,0,12,1,1,0,236,96,140,,,1462736,311563,542675,184305,4388,367147,51196,0.21,0.37,0.12,0,0.25,0.03,3921.828682687790,1351.234946018970,2537.6417890856600,32.95194758315920,666.4907406394590,4309.321709454060,0.8203804377550020,0,0.8203804377550020,0.06836503647958350,0.06836503647958350,0,16.134148609181700,6.563043502040010,9.571105107141690
2006,Alameda,All Combined,All Combined,12419,65868,29.8,8.46,54830,18613,35786,431,15,7,8,1,0,1,230,84,146,,,1462371,311485,542540,184259,4387,367055,51183,0.21,0.37,0.12,0,0.25,0.03,3749.390544533500,1272.7960278205700,2447.1218316008700,29.47268511205430,849.2373002473380,4504.192164642210,1.0257315004195200,0.47867470019577800,0.5470568002237460,0.06838210002796830,0,0.06838210002796830,15.727883006432700,5.744096402349340,9.983786604083370
2007,Alameda,All Combined,All Combined,12536,62731,27.6,8.74,57483,19295,37648,540,15,6,9,1,0,1,239,76,163,,,1470622,313242,545601,185298,4412,369126,51472,0.21,0.37,0.12,0,0.25,0.03,3908.754255002300,1312.0298757940500,2560.0052222801000,36.71915692815690,852.4284282432870,4265.610061592990,1.0199765813376900,0.407990632535077,0.6119859488026150,0.06799843875584620,0,0.06799843875584620,16.251626862647200,5.167881345444310,11.083745517202900
2008,Alameda,All Combined,All Combined,12778,59435,31.36,8.84,57800,19223,38122,455,19,7,12,0,0,0,225,105,120,,,1484085,316110,550596,186995,4452,372505,51943,0.21,0.37,0.12,0,0.25,0.03,3894.6556295630000,1295.2762139634900,2568.7207942941300,30.658621305383500,861.0018967916260,4004.8245215065200,1.2802501204445800,0.47167109700589900,0.8085790234386840,0,0,0,15.160856689475300,7.075066455088490,8.085790234386850
2009,Alameda,All Combined,All Combined,11189,56348,31.9,8.25,56147,18469,37247,431,7,4,3,4,4,0,151,55,96,,,1497799,319031,555683,188723,4493,375948,52423,0.21,0.37,0.12,0,0.25,0.03,3748.633828704650,1233.0760001842700,2486.7822718535700,28.775556666815800,747.0294745823710,3762.053519864810,0.4673524284633650,0.26705853055049400,0.2002938979128710,0.26705853055049400,0.26705853055049400,0,10.081459528281200,3.6720547950693000,6.409404733211870
2010,Alameda,All Combined,All Combined,10468,50323,32.69,9.37,52609,17094,35027,488,13,4,9,0,0,0,172,56,116,,,1509240,341088,502577,173563,4528,419569,66407,0.22,0.33,0.11,0,0.27,0.04,3485.79417455143,1132.623042060900,2320.8369775516200,32.33415493890960,693.5941268453000,3334.3272110466200,0.861360684848003,0.2650340568763090,0.5963266279716940,0,0,0,11.39646444568130,3.7104767962683200,7.68598764941295
2011,Alameda,All Combined,All Combined,10785,52659,29.42,8.49,45596,14272,30915,409,10,7,3,0,0,0,183,63,120,,,1517756,343013,505413,174542,4553,421936,66781,0.22,0.33,0.11,0,0.27,0.04,3004.1719485872600,940.3356007157940,2036.8886698520700,26.947678019391800,710.5885267460650,3469.530016682520,0.658867433236963,0.4612072032658740,0.1976602299710890,0,0,0,12.057274028236400,4.150864829392870,7.906409198843560
2012,Alameda,All Combined,All Combined,11899,62130,24.75,6.84,42939,13161,29555,223,9,3,6,0,0,0,179,73,106,,,1532253,346289,510240,176209,4597,425966,67419,0.22,0.33,0.11,0,0.27,0.04,2802.343999326480,858.9312600464810,1928.85900696556,14.553732314441500,776.5688825539910,4054.8134022253500,0.5873703624662510,0.19579012082208400,0.3915802416441670,0,0,0,11.682143875717700,4.764226273337370,6.917917602380290
2013,Alameda,All Combined,All Combined,11739,60133,25.18,7.1,40992,13593,27146,253,16,8,8,0,0,0,188,75,113,,,1555241,351484,517895,178853,4666,432357,68431,0.22,0.33,0.11,0,0.27,0.04,2635.732982862460,874.012452089419,1745.4529555226500,16.267575250395300,754.8026318750600,3866.4747135652900,1.0287794624755900,0.5143897312377950,0.5143897312377950,0,0,0,12.088158684088200,4.822403730354330,7.265754953733860
2014,Alameda,All Combined,All Combined,10356,57620,29.73,7.42,44276,14539,29556,181,21,11,10,1,0,1,219,65,154,,,1574497,355836,524308,181067,4723,437710,69278,0.22,0.33,0.11,0,0.27,0.04,2812.0726809895500,923.4060147462970,1877.1709314149200,11.4957348283293,657.733866752366,3659.581440930020,1.3337592894746700,0.6986358182962560,0.6351234711784140,0.06351234711784140,0,0.06351234711784140,13.909204018807300,4.128302562659690,9.780901456147580
2005,Alpine,All Combined,All Combined,7,97,14.28,6.18,132,36,96,0,0,0,0,0,0,0,0,0,0,,,1237,28,877,0,259,31,41,0.02,0.7,0,0.2,0.02,0.03,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
2006,Alpine,All Combined,All Combined,13,88,38.46,9.09,109,23,86,0,0,0,0,0,0,0,0,0,0,,,1232,28,873,0,257,31,41,0.02,0.7,0,0.2,0.02,0.03,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
2007,Alpine,All Combined,All Combined,15,74,40,8.1,80,14,66,0,0,0,0,0,0,0,0,0,0,,,1252,29,888,0,262,31,41,0.02,0.7,0,0.2,0.02,0.03,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
2008,Alpine,All Combined,All Combined,14,73,0,4.1,69,19,50,0,0,0,0,0,0,0,0,0,0,,,1228,28,871,0,257,31,41,0.02,0.7,0,0.2,0.02,0.03,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
2009,Alpine,All Combined,All Combined,13,62,38.46,1.61,99,16,83,0,0,0,0,0,0,0,0,0,0,,,1194,27,847,0,250,30,39,0.02,0.7,0,0.2,0.02,0.03,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
2010,Alpine,All Combined,All Combined,10,77,50,7.79,76,15,61,0,0,0,0,0,0,0,0,0,0,,,1178,85,814,11,204,26,40,0.07,0.69,0,0.17,0.02,0.03,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
2011,Alpine,All Combined,All Combined,7,105,28.57,10.47,70,22,48,0,0,0,0,0,0,0,0,0,0,,,1128,81,779,10,195,25,38,0.07,0.69,0,0.17,0.02,0.03,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
2012,Alpine,All Combined,All Combined,8,43,12.5,11.62,73,22,51,0,0,0,0,0,0,0,0,0,0,,,1126,81,778,10,195,25,38,0.07,0.69,0,0.17,0.02,0.03,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
2013,Alpine,All Combined,All Combined,6,33,50,21.21,35,12,23,0,0,0,0,0,0,0,0,0,0,,,1123,81,776,10,194,25,38,0.07,0.69,0,0.17,0.02,0.03,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
2014,Alpine,All Combined,All Combined,4,24,25,16.66,43,11,31,1,0,0,0,0,0,0,0,0,0,,,1122,81,775,10,194,25,38,0.07,0.69,0,0.17,0.02,0.03,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
2005,Amador,All Combined,All Combined,140,1011,47.14,20.17,2005,795,1210,0,0,0,0,0,0,0,1,1,0,,,37434,3968,30172,824,636,487,1385,0.1,0.8,0.02,0.01,0.01,0.03,5356.093391034890,2123.737778490140,3232.3556125447500,0,373.99155847625200,2700.7533258535000,0,0,0,0,0,0,2.671368274830370,2.671368274830370,0
2006,Amador,All Combined,All Combined,131,844,44.27,17.89,1676,570,1105,1,0,0,0,0,0,0,0,0,0,,,37843,4011,30501,833,643,492,1400,0.1,0.8,0.02,0.01,0.01,0.03,4428.82435324895,1506.2230795655700,2919.958777052560,2.6424966308168000,346.16705863700000,2230.2671564093800,0,0,0,0,0,0,0,0,0
2007,Amador,All Combined,All Combined,154,831,62.98,21.9,1619,527,1088,4,0,0,0,0,0,0,0,0,0,,,38025,4031,30648,837,646,494,1407,0.1,0.8,0.02,0.01,0.01,0.03,4257.725180802100,1385.9303090072300,2861.275476660090,10.51939513477970,404.9967126890200,2185.404339250490,0,0,0,0,0,0,0,0,0
2008,Amador,All Combined,All Combined,127,1059,54.33,20.67,1398,470,926,2,0,0,0,0,0,0,0,0,0,,,37975,4025,30608,835,646,494,1405,0.1,0.8,0.02,0.01,0.01,0.03,3681.3693219223200,1237.6563528637300,2438.446346280450,5.266622778143520,334.43054641211300,2788.6767610269900,0,0,0,0,0,0,0,0,0
2009,Amador,All Combined,All Combined,107,856,65.42,15.65,1267,464,801,2,1,0,1,0,0,0,0,0,0,,,37884,4016,30535,833,644,492,1402,0.1,0.8,0.02,0.01,0.01,0.03,3344.419807834440,1224.7914686939100,2114.3490655685800,5.279273571956500,282.4411360996730,2259.5290887973800,2.6396367859782500,0,2.6396367859782500,0,0,0,0,0,0
2010,Amador,All Combined,All Combined,110,840,68.18,21.9,1328,539,787,2,1,0,1,0,0,0,0,0,0,,,38011,4827,30371,798,646,570,760,0.12,0.79,0.02,0.01,0.01,0.01,3493.7255005130100,1418.0105758859300,2070.4532898371500,5.261634789929230,289.3899134461080,2209.886611770280,2.6308173949646200,0,2.6308173949646200,0,0,0,0,0,0
2011,Amador,All Combined,All Combined,98,972,81.63,20.16,1149,469,674,6,0,0,0,0,0,0,0,0,0,,,37571,4772,30019,789,639,564,751,0.12,0.79,0.02,0.01,0.01,0.01,3058.209789465280,1248.303212584170,1793.9368129674500,15.96976391365680,260.83947725639500,2587.101754012400,0,0,0,0,0,0,0,0,0
2012,Amador,All Combined,All Combined,130,797,70.76,22.58,1095,479,612,4,0,0,0,0,0,0,0,0,0,,,36731,4665,29348,771,624,551,735,0.12,0.79,0.02,0.01,0.01,0.02,2981.133102828670,1304.0755764885200,1666.167542402870,10.889983937273700,353.924477961395,2169.829299501780,0,0,0,0,0,0,0,0,0
2013,Amador,All Combined,All Combined,100,798,84,22.93,1076,526,544,6,0,0,0,0,0,0,0,0,0,,,36256,4605,28969,761,616,544,725,0.12,0.79,0.02,0.01,0.01,0.01,2967.7846425419200,1450.794351279790,1500.441306266550,16.548984995586900,275.8164165931160,2201.015004413060,0,0,0,0,0,0,0,0,0
2014,Amador,All Combined,All Combined,81,629,82.71,24.32,1206,553,653,0,2,0,2,0,0,0,0,0,0,,,36143,4590,28878,759,614,542,723,0.12,0.79,0.02,0.01,0.01,0.02,3336.7457045624300,1530.0334781285400,1806.7122264338900,0,224.10978612732800,1740.3093268406100,5.533574966106850,0,5.533574966106850,0,0,0,0,0,0
2005,Butte,All Combined,All Combined,752,7335,40.95,12.81,10149,2380,7758,11,0,0,0,0,0,0,31,5,26,,,212955,27258,163762,3194,1917,8944,7879,0.12,0.76,0.01,0,0.04,0.03,4765.795590617740,1117.6070061750100,3643.023173909980,5.165410532741660,353.126247329248,3444.389659787280,0,0,0,0,0,0,14.557066046817400,2.347913878518940,12.209152168298500
2006,Butte,All Combined,All Combined,787,7107,46.88,13.29,10733,2404,8321,8,4,4,0,0,0,0,36,8,28,,,214690,27480,165097,3220,1932,9017,7944,0.12,0.76,0.01,0,0.04,0.03,4999.301318179700,1119.7540639992500,3875.8209511388500,3.726303041594860,366.57506171689400,3310.3544645768300,1.863151520797430,1.863151520797430,0,0,0,0,16.76836368717690,3.726303041594860,13.042060645582000
2007,Butte,All Combined,All Combined,977,6666,49.74,15.64,11888,2742,9131,15,4,1,3,0,0,0,39,11,28,,,216401,27699,166412,3246,1948,9089,8007,0.12,0.76,0.01,0,0.04,0.03,5493.5051131926400,1267.092111404290,4219.481425686570,6.931576101774020,451.4766567622150,3080.392419628380,1.8484202938064100,0.4621050734516010,1.3863152203548000,0,0,0,18.022097864612500,5.083155807967620,12.93894205664480
2008,Butte,All Combined,All Combined,836,6663,52.15,13.31,11729,2412,9298,19,2,1,1,0,0,0,19,8,11,,,217801,27879,167489,3267,1960,9148,8059,0.12,0.76,0.01,0,0.04,0.03,5385.191068911530,1107.4329318965500,4269.0345774353700,8.723559579616260,383.8366215031150,3059.214604157010,0.91826942943329,0.459134714716645,0.459134714716645,0,0,0,8.723559579616260,3.67307771773316,5.050481861883100
2009,Butte,All Combined,All Combined,932,6338,50.42,12.81,11275,2248,9026,1,2,0,2,0,0,0,20,10,10,,,218887,28018,168324,3283,1970,9193,8099,0.12,0.76,0.01,0,0.04,0.03,5151.059679195200,1027.0139386989600,4123.588883761940,0.4568567342966920,425.79047636451700,2895.5579819724300,0.9137134685933840,0,0.9137134685933840,0,0,0,9.137134685933840,4.568567342966920,4.568567342966920
2010,Butte,All Combined,All Combined,762,5940,48.16,13.36,10898,2221,8669,8,1,0,1,0,0,0,22,7,15,,,219967,32775,163216,3080,1540,9679,9899,0.14,0.74,0.01,0,0.04,0.04,4954.379520564450,1009.6969090818200,3941.045702309890,3.6369091727395500,346.4155987034420,2700.405060759110,0.4546136465924430,0,0.4546136465924430,0,0,0,10.001500225033800,3.182295526147100,6.819204698886650
2011,Butte,All Combined,All Combined,576,5375,49.13,16.72,10568,2317,8249,2,2,0,2,0,0,0,21,4,17,,,220465,32849,163585,3087,1543,9700,9921,0.14,0.74,0.01,0,0.04,0.04,4793.504637924390,1050.9604699158600,3741.63699453428,0.907173474247613,261.26596058331300,2438.02871204046,0.907173474247613,0,0.907173474247613,0,0,0,9.525321479599940,1.814346948495230,7.710974531104710
2012,Butte,All Combined,All Combined,684,5659,48.53,16,10571,2822,7736,13,3,3,0,0,0,0,32,12,20,,,220162,32804,163360,3082,1541,9687,9907,0.14,0.74,0.01,0,0.04,0.04,4801.4643762320500,1281.783414031490,3513.776219329400,5.90474287115851,310.6803172209550,2570.3799929143100,1.3626329702673500,1.3626329702673500,0,0,0,0,14.534751682851700,5.450531881069390,9.084219801782320
2013,Butte,All Combined,All Combined,634,6223,49.36,14.31,10967,2955,8004,8,2,2,0,0,0,0,25,5,20,,,221430,32993,164301,3100,1550,9743,9964,0.14,0.74,0.01,0,0.04,0.04,4952.806756085440,1334.5075193063300,3614.686356862210,3.6128799169037600,286.32073341462300,2810.368965361510,0.9032199792259400,0.9032199792259400,0,0,0,0,11.290249740324300,2.2580499480648500,9.032199792259410
2014,Butte,All Combined,All Combined,678,6631,51.62,12.59,10596,3045,7547,4,6,4,2,0,0,0,33,11,22,,,222901,33212,165393,3121,1560,9808,10031,0.14,0.74,0.01,0,0.04,0.04,4753.6798847919000,1366.0773168357300,3385.8080493133700,1.7945186428055500,304.1709099555410,2974.863280110900,2.6917779642083300,1.7945186428055500,0.8972593214027750,0,0,0,14.80477880314580,4.934926267715260,9.869852535430530
2005,Calaveras,All Combined,All Combined,153,925,55.55,9.94,2067,535,1529,3,0,0,0,0,0,0,8,1,7,,,44348,4346,37075,621,843,621,798,0.09,0.83,0.01,0.01,0.01,0.01,4660.864075042840,1206.367818165420,3447.7315775232300,6.764679354198610,344.99864706412900,2085.7761342112400,0,0,0,0,0,0,18.039144944529600,2.2548931180662000,15.784251826463400
2006,Calaveras,All Combined,All Combined,56,944,50,12.39,2043,549,1493,1,2,2,0,0,0,0,4,1,3,,,45044,4414,37657,631,856,631,811,0.09,0.83,0.01,0.01,0.01,0.01,4535.565225113220,1218.8082763520100,3314.5368972560200,2.2200515051949200,124.32288429091600,2095.728620904000,4.440103010389840,4.440103010389840,0,0,0,0,8.880206020779680,2.2200515051949200,6.660154515584760
2007,Calaveras,All Combined,All Combined,68,785,55.88,13.24,2044,589,1455,0,0,0,0,0,0,0,2,1,1,,,45477,4457,38019,637,864,637,819,0.09,0.83,0.01,0.01,0.01,0.01,4494.579677639250,1295.1601908657100,3199.4194867735300,0,149.52613408976000,1726.1472832420800,0,0,0,0,0,0,4.397827473228220,2.1989137366141100,2.1989137366141100
2008,Calaveras,All Combined,All Combined,93,829,61.29,13.38,1750,526,1216,8,0,0,0,0,0,0,4,3,1,,,45670,4476,38180,639,868,639,822,0.09,0.83,0.01,0.01,0.01,0.01,3831.8370921830500,1151.7407488504500,2662.579373768340,17.51696956426540,203.63477118458500,1815.1959710970000,0,0,0,0,0,0,8.75848478213269,6.568863586599520,2.1896211955331700
2009,Calaveras,All Combined,All Combined,84,788,52.38,12.56,1472,501,968,3,0,0,0,0,0,0,3,1,2,,,45632,4472,38148,639,867,639,821,0.09,0.83,0.01,0.01,0.01,0.01,3225.8064516129000,1097.913744740530,2121.3183730715300,6.574333800841520,184.08134642356200,1726.8583450210400,0,0,0,0,0,0,6.574333800841520,2.191444600280510,4.38288920056101
2010,Calaveras,All Combined,All Combined,93,825,62.36,14.54,1581,529,1052,0,0,0,0,0,0,0,0,0,0,,,45602,4971,37804,274,319,638,1550,0.1,0.82,0,0,0.01,0.03,3466.9532038068500,1160.0368404894500,2306.9163633174000,0,203.93842375334400,1809.1311784570900,0,0,0,0,0,0,0,0,0
2011,Calaveras,All Combined,All Combined,120,1156,61.66,8.82,1424,467,951,6,0,0,0,0,0,0,0,0,0,,,45092,4915,37381,271,316,631,1533,0.1,0.82,0,0,0.01,0.03,3157.98811319081,1035.6604275703000,2109.0215559301000,13.306129690410700,266.12259380821400,2563.647653685800,0,0,0,0,0,0,0,0,0
2012,Calaveras,All Combined,All Combined,101,1149,59.4,12.09,1535,557,973,5,1,1,0,0,0,0,14,4,10,,,45617,4972,37816,274,319,639,1551,0.1,0.82,0,0,0.01,0.03,3364.973584409320,1221.036017274260,2132.9767411272100,10.96082600784800,221.40868535852900,2518.797816603460,2.1921652015695900,2.1921652015695900,0,0,0,0,30.690312821974300,8.768660806278360,21.9216520156959
2013,Calaveras,All Combined,All Combined,130,1080,59.23,9.25,1806,594,1200,12,0,0,0,0,0,0,7,2,5,,,45608,4971,37809,274,319,639,1551,0.1,0.82,0,0,0.01,0.03,3959.8316084897400,1302.4030871776900,2631.117347833710,26.311173478337100,285.0377126819860,2368.005613050340,0,0,0,0,0,0,15.348184529030000,4.385195579722860,10.962988949307100
2014,Calaveras,All Combined,All Combined,113,989,57.52,7.88,1617,569,1048,0,1,0,1,0,0,0,8,0,8,,,45567,4967,37775,273,319,638,1549,0.1,0.82,0,0,0.01,0.03,3548.6207123576300,1248.7106897535500,2299.9100226040800,0,247.9864814449050,2170.4303553009900,2.194570632255800,0,2.194570632255800,0,0,0,17.55656505804640,0,17.55656505804640
2005,Colusa,All Combined,All Combined,51,568,56.86,14.08,1258,411,833,14,0,0,0,0,0,0,5,3,2,,,20374,10350,8802,224,224,224,570,0.5,0.43,0.01,0.01,0.01,0.02,6174.53617355453,2017.2769215667000,4088.544223029350,68.7150289584765,250.3190340630210,2787.8668891724700,0,0,0,0,0,0,24.54108177088450,14.724649062530700,9.816432708353780
2006,Colusa,All Combined,All Combined,80,624,71.25,12.5,1167,322,839,6,0,0,0,0,0,0,4,2,2,,,20729,10530,8955,228,228,228,580,0.5,0.43,0.01,0.01,0.01,0.02,5629.7940083940400,1553.3793236528500,4047.469728399830,28.944956341357500,385.93275121810000,3010.275459501180,0,0,0,0,0,0,19.296637560905000,9.648318780452510,9.648318780452510
2007,Colusa,All Combined,All Combined,66,602,78.78,20.76,1422,347,1066,9,0,0,0,0,0,0,7,6,1,,,21006,10671,9075,231,231,231,588,0.5,0.43,0.01,0.01,0.01,0.02,6769.49443016281,1651.9089783871300,5074.740550318960,42.84490145672670,314.19594401599500,2865.8478529943800,0,0,0,0,0,0,33.32381224412070,28.563267637817800,4.760544606302960
2008,Colusa,All Combined,All Combined,42,490,80.95,18.57,1327,301,1022,4,0,0,0,0,0,0,3,2,1,,,21145,10742,9135,233,233,233,592,0.5,0.43,0.01,0.01,0.01,0.02,6275.715299125090,1423.5043745566300,4833.293922913220,18.917001655237600,198.62851737999500,2317.3327027666100,0,0,0,0,0,0,14.187751241428200,9.458500827618820,4.729250413809410
2009,Colusa,All Combined,All Combined,59,527,77.96,17.64,1192,275,917,0,0,0,0,0,0,0,4,1,3,,,21221,10780,9167,233,233,233,594,0.5,0.43,0.01,0.01,0.01,0.02,5617.0774233071000,1295.886150511290,4321.191272795820,0,278.0264832006030,2483.3890957070800,0,0,0,0,0,0,18.84925309834600,4.712313274586490,14.136939823759500
2010,Colusa,All Combined,All Combined,48,499,58.33,15.63,1202,291,908,3,0,0,0,0,0,0,4,0,4,,,21380,12122,8167,171,278,299,321,0.56,0.38,0,0.01,0.01,0.01,5622.076707202990,1361.0851262862500,4246.959775491110,14.03180542563140,224.5088868101030,2333.956969130030,0,0,0,0,0,0,18.709073900841900,0,18.709073900841900
2011,Colusa,All Combined,All Combined,45,495,75.55,12.92,1096,273,804,19,0,0,0,0,0,0,0,0,0,,,21552,12220,8233,172,280,302,323,0.56,0.38,0,0.01,0.01,0.01,5085.374907201190,1266.7037861915400,3730.512249443210,88.15887156644390,208.79732739420900,2296.770601336300,0,0,0,0,0,0,0,0,0
2012,Colusa,All Combined,All Combined,46,555,73.91,13.15,1138,354,777,7,0,0,0,0,0,0,3,0,3,,,21540,12213,8228,172,280,302,323,0.56,0.38,0,0.01,0.01,0.01,5283.194057567320,1643.4540389972100,3607.242339832870,32.49767873723310,213.55617455896000,2576.601671309190,0,0,0,0,0,0,13.927576601671300,0,13.927576601671300
2013,Colusa,All Combined,All Combined,43,535,60.46,12.52,1032,353,676,3,0,0,0,0,0,0,2,0,2,,,21667,12285,8277,173,282,303,325,0.56,0.38,0,0.01,0.01,0.01,4763.003646097750,1629.2057045276200,3119.9520007384500,13.845940831679500,198.45848525407300,2469.192781649510,0,0,0,0,0,0,9.230627221119680,0,9.230627221119680
2014,Colusa,All Combined,All Combined,40,350,70,16.28,1079,365,710,4,0,0,0,0,0,0,11,6,5,,,21783,12351,8321,174,283,305,327,0.56,0.38,0,0.01,0.01,0.01,4953.404030666120,1675.6186016618500,3259.4224854244100,18.362943579855900,183.62943579855900,1606.7575632373900,0,0,0,0,0,0,50.49809484460360,27.544415369783800,22.953679474819800
2005,Contra Costa,All Combined,All Combined,4513,39147,35.78,10.57,29494,12667,16729,98,5,0,5,1,1,0,184,73,111,,,1001216,223271,512623,90109,3004,137167,35043,0.22,0.51,0.08,0,0.13,0.03,2945.817885451290,1265.1615635387400,1670.868224239320,9.788097673229350,450.7518857069800,3909.9455062643800,0.49939273843006900,0,0.49939273843006900,0.09987854768601380,0.09987854768601380,0,18.37765277422650,7.291133981079010,11.086518793147500
2006,Contra Costa,All Combined,All Combined,4796,36977,31.54,9.83,30749,12763,17864,122,10,6,4,0,0,0,161,77,84,,,1007169,224599,515671,90645,3022,137982,35251,0.22,0.51,0.08,0,0.13,0.03,3053.012950160300,1267.2153332757500,1773.6844561339800,12.113160750579100,476.1862209817820,3671.3798776570800,0.9928820287359920,0.595729217241595,0.3971528114943970,0,0,0,15.985400662649500,7.645191621267140,8.34020904138233
2007,Contra Costa,All Combined,All Combined,4954,36406,30.74,9.94,31369,12400,18825,144,7,2,5,0,0,0,228,92,136,,,1015672,226495,520024,91410,3047,139147,35549,0.22,0.51,0.08,0,0.13,0.03,3088.49707385849,1220.8665789743100,1853.4526894509300,14.177805433250100,487.7558896966740,3584.424893075720,0.6891988752274360,0.19691396435069600,0.49228491087674000,0,0,0,22.44819193597930,9.058042360132010,13.390149575847300
2008,Contra Costa,All Combined,All Combined,4597,34759,31.75,9.17,31838,12034,19712,92,5,3,2,2,1,1,191,72,119,,,1027264,229080,525959,92454,3082,140735,35954,0.22,0.51,0.09,0,0.13,0.03,3099.300666625130,1171.4612796710500,1918.8835586567800,8.955828297302350,447.49937698585800,3383.648215064480,0.486729798766432,0.2920378792598590,0.1946919195065730,0.1946919195065730,0.0973459597532864,0.0973459597532864,18.5930783128777,7.008909102236620,11.58416921064110
2009,Contra Costa,All Combined,All Combined,4257,31065,36.1,8.96,30250,11661,18539,50,6,1,5,0,0,0,201,87,114,,,1038390,231561,531656,93455,3115,142259,36344,0.22,0.51,0.08,0,0.13,0.03,2913.1636475698000,1122.9884725392200,1785.3600285056700,4.815146524908750,409.9615751307310,2991.650535925810,0.5778175829890500,0.09630293049817510,0.4815146524908750,0,0,0,19.356889030133200,8.37835495334123,10.978534076792000
2010,Contra Costa,All Combined,All Combined,4326,30680,34.09,9.06,29279,11693,17466,120,2,1,1,0,0,0,173,64,109,,,1047948,259891,488344,90124,3144,159288,48206,0.24,0.46,0.08,0,0.15,0.04,2793.9363403527700,1115.7996389133800,1666.6857515830900,11.45094985629060,412.8067423192750,2927.6261799249600,0.19084916427151000,0.09542458213575480,0.09542458213575480,0,0,0,16.508452709485600,6.107173256688310,10.401279452797300
2011,Contra Costa,All Combined,All Combined,3928,30239,36.09,8.91,26447,10832,15435,180,3,2,1,0,0,0,189,86,103,,,1056306,261964,492239,90842,3169,160559,48590,0.24,0.46,0.08,0,0.15,0.04,2503.7252462828000,1025.4604252934300,1461.224304320910,17.040516668465400,371.8619415207340,2862.712130765140,0.2840086111410900,0.18933907409406000,0.09466953704702990,0,0,0,17.892542501888700,8.141580186044570,9.750962315844080
2012,Contra Costa,All Combined,All Combined,4383,32787,34.06,9.52,26412,11185,15168,59,4,2,2,1,1,0,170,72,98,,,1062746,263561,495240,91396,3188,161537,48886,0.24,0.46,0.08,0,0.15,0.04,2485.2598833587700,1052.4622063973900,1427.2460211565100,5.551655804867770,412.4221591989050,3085.120997867790,0.37638344439781500,0.18819172219890700,0.18819172219890700,0.09409586109945370,0.09409586109945370,0,15.996296386907100,6.774901999160670,9.22139438774646
2013,Contra Costa,All Combined,All Combined,3961,31351,34.23,8.77,25988,11583,14338,67,4,2,2,0,0,0,120,38,82,,,1074317,266431,500632,92391,3223,163296,49419,0.24,0.46,0.08,0,0.15,0.04,2419.0252970026500,1078.1733883015900,1334.6153881954800,6.23652050558634,368.6993689944400,2918.226184636380,0.3723295824230650,0.18616479121153300,0.18616479121153300,0,0,0,11.169887472692000,3.537131033019120,7.632756439672830
